Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Other small states;47.06334198;46.24235515;45.2901552;44.31059198;43.37839827;42.52333992;41.75321904;41.08771141;40.50261282;39.94523077;39.40463454;38.88200963;38.37536451;37.88145651
Pakistan;66.018;65.816;65.613;65.41;65.207;65.003;64.798;64.592;64.387;64.181;63.974;63.766;63.558;63.334
Panama;36.318;36.024;35.732;35.44;35.149;34.86;34.563;34.259;33.948;33.629;33.304;32.973;32.635;32.291
Peru;24.966;24.579;24.197;23.948;23.759;23.57;23.383;23.196;23.011;22.827;22.643;22.461;22.28;22.093
Philippines;54.29;54.375;54.46;54.545;54.629;54.668;54.478;54.288;54.097;53.907;53.716;53.525;53.318;53.093
Palau;28.848;28.09;27.345;26.611;25.891;25.183;24.489;23.806;23.138;22.483;21.841;21.225;20.635;20.07
Papua New Guinea;86.891;86.909;86.927;86.945;86.963;86.981;87;87.018;87.022;87.012;86.988;86.95;86.898;86.831
Poland;38.548;38.659;38.771;38.884;38.996;39.108;39.22;39.346;39.471;39.597;39.722;39.822;39.895;39.942
Pre-demographic dividend;65.60613515;65.12311502;64.69650306;64.18515208;63.66449605;63.12757291;62.57782625;62.03800826;61.49479147;60.95025727;60.40610987;59.8631618;59.31918592;58.77304849
Puerto Rico;5.888;5.944;6.001;6.058;6.116;6.175;6.227;6.274;6.314;6.349;6.376;6.398;6.413;6.422
Korea, Dem. People’s Rep.;40.195;40.116;40.038;39.96;39.805;39.623;39.443;39.262;39.082;38.902;38.723;38.529;38.322;38.101
Portugal;42.478;41.863;41.251;40.641;40.036;39.433;38.833;38.237;37.648;37.064;36.486;35.914;35.348;34.789
Paraguay;42.367;42.04;41.714;41.388;41.063;40.739;40.416;40.093;39.803;39.526;39.25;38.974;38.7;38.415
West Bank and Gaza;26.939;26.724;26.509;26.296;26.077;25.851;25.619;25.381;25.137;24.887;24.632;24.372;24.106;23.836
Pacific island small states;64.55095605;64.31675338;64.04932374;63.73652184;63.42358265;63.14146626;62.89216932;62.66098689;62.43641371;62.19738248;61.9587404;61.70926426;61.46953139;61.21865588
Post-demographic dividend;21.65273594;21.32251373;21.01169278;20.71051541;20.42207213;20.14489808;19.93604064;19.76269935;19.59510093;19.42703223;19.25410678;19.07953169;18.90141079;18.72014666
French Polynesia;42.583;41.998;41.415;40.834;40.258;39.683;39.111;38.541;38.417;38.367;38.317;38.266;38.216;38.166
Qatar;2.604;2.329;2.083;1.861;1.664;1.499;1.398;1.303;1.215;1.132;1.055;0.985;0.922;0.865
Romania;46.826;46.695;46.564;46.433;46.302;46.171;46.04;46.026;46.063;46.1;46.113;46.1;46.064;46.002
Russian Federation;26.537;26.492;26.447;26.402;26.358;26.313;26.268;26.209;26.137;26.05;25.95;25.836;25.708;25.567
Rwanda;83.088;83.083;83.079;83.075;83.07;83.066;83.062;83.057;83.053;83.033;82.996;82.944;82.875;82.789
