Country Name;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Latin America & the Caribbean (IDA & IBRD countries);4487.413306;5185.741873;6072.591511;7022.89709;7194.236785;7995.327139;8833.66323;9759.49566;10167.32761;10054.96087;9212.04475;8459.733537;8327.903184;8620.155723
Timor-Leste;930;1310;1840;2970;2330;2850;3710;3630;3200;2690;2200;1750;1790;1810
Middle East & North Africa (IDA & IBRD countries);2160.102594;2437.571919;2855.173001;3374.304291;3694.735853;4012.027904;4116.435738;4595.773841;4761.929605;4633.51642;4178.577783;4110.617723;3864.134533;
Tonga;2450;2720;2840;3220;3370;3570;3800;4310;4480;4570;4520;4300;4250;4300
South Asia (IDA & IBRD);691.4048292;765.4138137;874.8280261;953.5493701;1058.607212;1153.256313;1283.571509;1397.599375;1444.827778;1489.38221;1535.532652;1614.446622;1746.469846;1915.430049
Sub-Saharan Africa (IDA & IBRD countries);902.5335595;1047.711101;1180.937174;1332.549039;1377.408907;1444.085853;1529.647239;1672.290663;1759.91075;1812.14478;1731.296437;1578.910569;1489.832236;1507.978343
Trinidad and Tobago;11190;13280;15000;17350;16200;16460;14970;16840;18750;18560;19130;16720;15950;16020
Tunisia;3160;3330;3530;3850;4070;4130;3990;4100;4160;4160;3960;3750;3520;3500
Turkey;6760;7820;8880;9780;9580;10430;11230;11870;12510;12560;11960;11180;10900;10420
Tuvalu;3630;3780;4500;4660;4820;4400;4720;4430;5560;4670;5440;5070;4810;5430
Tanzania;500;520;540;600;670;720;770;810;890;970;980;970;970;1020
Uganda;310;350;390;440;550;670;850;820;800;820;830;790;740;750
Ukraine;1540;1950;2590;3210;2840;2980;3110;3500;3800;3560;2700;2370;2380;2800
Upper middle income;2752.896467;3231.212797;3861.514149;4603.740251;4969.765671;5622.362823;6319.030098;7239.356753;7894.900357;8184.73288;7955.637216;7777.972002;7940.976102;8560.506626
Uruguay;4720;5390;6390;7710;8810;10440;12060;13370;15320;15830;15640;14980;15150;15910
United States;46190;47880;48500;48980;47730;48990;50570;52770;53950;55850;56740;57180;59060;63200
Uzbekistan;530;610;770;980;1150;1370;1650;2020;2270;2470;2600;2660;2350;2020
St. Vincent and the Grenadines;4960;5470;5910;6260;6320;6090;6130;6400;6560;6390;6560;6800;6970;7340
Venezuela;4110;4980;6130;7630;9400;10380;11810;11980;12710;11970;13080;;;
British Virgin Islands;;;;;;;;;;;;;;
Virgin Islands (U.S.);;;;;;;;;;;;;;
Vietnam;630;720;840;980;1010;1250;1370;1540;1720;1880;1970;2080;2120;2360
Vanuatu;1780;1990;2130;2540;2620;2690;2850;2930;3160;3120;2910;2850;2880;3110
World;7360.951203;7852.888099;8371.274032;8960.707245;8990.701474;9420.305241;9909.728813;10504.57821;10884.01986;11005.4855;10672.75694;10412.45773;10477.31375;11159.86728
Samoa;2320;2560;2850;3060;3030;3230;3520;3660;3800;3820;3960;4110;4060;4020
Kosovo;2270;2470;2690;3070;3290;3420;3640;3780;3960;4020;4010;3970;3970;4340
Yemen;610;700;810;890;1010;1100;1200;1080;1260;1440;1460;1150;1070;970
South Africa;4990;5630;5910;5980;5850;6190;6990;7570;7350;6760;6050;5470;5410;5750
Zambia;560;720;900;1180;1280;1340;1420;1690;1760;1800;1580;1370;1300;1460
Zimbabwe;460;440;420;330;420;630;920;1110;1210;1260;1280;1290;1360;1530
