"Bacteria","Country","Region","Code","Year","R_multi","DDD_sys_commun","per_cap_US","GDP_total","GDP_health","Out_pocket_exp","income_pc","rural_pop","HDR","ctrl_corrup","GOV_effect","rule_law","total_pop"
"Escherichia coli","Slovenia","Southern","SI",2010,0.037815126,11.8137,2015,23509.54339,8.59,12.6401633,24540,47.342,0.881,0.922867894,1.02644074,1.008394241,2048583
"Escherichia coli","United Kingdom","Northern","UK",2010,0.039837786,16.4634,3309,39435.8399,8.43,9.79340598,41650,18.698,0.905,1.604826927,1.568379402,1.764102578,62766365
"Escherichia coli","Austria","Western","AT",2011,0.024719101,12.6683,5161,51374.95841,10.03,18.73956323,50590,42.885,0.897,1.43189621,1.617761374,1.801554561,8391643
"Escherichia coli","Belgium","Western","BE",2011,0.01613469,23.6027,4856,47348.52502,10.14,18.17521751,46400,2.302,0.904,1.575072408,1.656355858,1.418425918,11038264
"Escherichia coli","Bulgaria","Eastern","BG",2011,0.102272727,16.9587,555.9,7806.348652,7.13,44.46372688,7220,27.362,0.782,-0.220316142,0.110085554,-0.111741245,7348328
"Escherichia coli","Cyprus","Southern","CY",2011,0.175182482,26.8634,2153,32396.38574,6.59,42.79902577,32550,32.594,0.853,0.866362035,1.563668251,1.07300961,1124833
"Escherichia coli","Czechia","Eastern","CZ",2011,0.032995876,16.5068,1517,21717.45794,6.98,15.02145827,19420,26.815,0.865,0.341793329,0.930979669,1.036918283,10496088
"Escherichia coli","Germany","Western","DE",2011,0.035527403,13.085,5022,46644.77603,10.72,14.05884922,47220,22.84,0.925,1.743272901,1.554961085,1.616170526,80274983
"Escherichia coli","Denmark","Northern","DK",2011,0.030051404,16.689,6281,61753.64713,10.15,14.55079019,61990,13.043,0.922,2.404429197,2.101078987,1.922707915,5570572
"Escherichia coli","Estonia","Northern","EE",2011,0.011363636,10.746,1015,17621.54744,5.82,21.55589908,16000,32.035,0.853,1.052501321,1.076736927,1.183797717,1327439
"Escherichia coli","Greece","Southern","EL",2011,0.108315863,31.6285,2354,25916.29353,9.1,30.91951609,24930,23.351,0.853,-0.098818809,0.512197733,0.572887123,11104899
"Escherichia coli","Spain","Southern","ES",2011,0.049159814,16.597,2895,31636.44631,9.08,21.11074477,30950,21.327,0.87,1.104123712,1.02723515,1.198051929,46742697
